crescente,date,day,decrescente,point,survey,total
2152,19/11,1,2527,289,6,4679
2202,20/11,2,1551,289,6,3753
2586,21/11,3,2241,289,6,4827
2503,22/11,4,2613,289,6,5116
2396,23/11,5,2519,289,6,4915
2135,24/11,6,2493,289,6,4628
2439,25/11,7,2636,289,6,5075
1720,19/11,1,1976,138,6,3696
1448,20/11,2,1565,138,6,3013
2019,21/11,3,2176,138,6,4195
1659,22/11,4,1855,138,6,3514
1902,23/11,5,1803,138,6,3705
1663,24/11,6,1882,138,6,3545
1894,25/11,7,2194,138,6,4088
2807,19/11,1,2749,292,6,5556
2211,20/11,2,1973,292,6,4184
2781,21/11,3,3078,292,6,5859
3006,22/11,4,2968,292,6,5974
3121,23/11,5,2983,292,6,6104
3196,24/11,6,3061,292,6,6257
3282,25/11,7,3338,292,6,6620
1625,19/11,1,1533,147,6,3158
1580,20/11,2,1594,147,6,3174
1287,21/11,3,1397,147,6,2684
1343,22/11,4,1591,147,6,2934
1368,23/11,5,1571,147,6,2939
1459,24/11,6,1665,147,6,3124
1638,25/11,7,1584,147,6,3222
5549,19/11,1,5330,34,6,10879
4975,20/11,2,6067,34,6,11042
5705,21/11,3,7127,34,6,12832
5645,22/11,4,5035,34,6,10680
5563,23/11,5,7852,34,6,13415
6330,24/11,6,7466,34,6,13796
7258,25/11,7,6270,34,6,13528
1609,19/11,1,1728,20,6,3337
1325,20/11,2,2129,20,6,3454
1894,21/11,3,1807,20,6,3701
1694,22/11,4,1812,20,6,3506
1851,23/11,5,1839,20,6,3690
1941,24/11,6,1856,20,6,3797
2282,25/11,7,1939,20,6,4221
4853,19/11,1,4250,166,6,9103
4425,20/11,2,4601,166,6,9026
5443,21/11,3,5582,166,6,11025
5031,22/11,4,5233,166,6,10264
5005,23/11,5,4671,166,6,9676
5526,24/11,6,5256,166,6,10782
6850,25/11,7,6319,166,6,13169
6320,19/11,1,6786,120,6,13106
6087,20/11,2,7228,120,6,13315
5951,21/11,3,7525,120,6,13476
6262,22/11,4,7166,120,6,13428
6831,23/11,5,7649,120,6,14480
6554,24/11,6,8273,120,6,14827
7596,25/11,7,8445,120,6,16041
1407,19/11,1,1265,30,6,2672
1128,20/11,2,1410,30,6,2538
1141,21/11,3,1346,30,6,2487
1442,22/11,4,1374,30,6,2816
1362,23/11,5,1306,30,6,2668
1363,24/11,6,1420,30,6,2783
1660,25/11,7,1395,30,6,3055
10394,19/11,1,9619,21,6,20013
9602,20/11,2,12158,21,6,21760
10861,21/11,3,10747,21,6,21608
8172,22/11,4,8796,21,6,16968
9321,23/11,5,8710,21,6,18031
9610,24/11,6,8906,21,6,18516
11963,25/11,7,10199,21,6,22162
1676,19/11,1,1798,24,6,3474
1607,20/11,2,1755,24,6,3362
2041,21/11,3,1780,24,6,3821
1665,22/11,4,1386,24,6,3051
1921,23/11,5,1832,24,6,3753
2060,24/11,6,2208,24,6,4268
1541,25/11,7,1786,24,6,3327
4126,19/11,1,4423,6,6,8549
3434,20/11,2,3454,6,6,6888
5274,21/11,3,4901,6,6,10175
4915,22/11,4,5358,6,6,10273
5083,23/11,5,5528,6,6,10611
4825,24/11,6,5177,6,6,10002
5522,25/11,7,5631,6,6,11153
5558,19/11,1,5267,15,6,10825
4821,20/11,2,4504,15,6,9325
6506,21/11,3,6216,15,6,12722
6047,22/11,4,6182,15,6,12229
6084,23/11,5,5618,15,6,11702
6399,24/11,6,5339,15,6,11738
7351,25/11,7,5717,15,6,13068
4597,19/11,1,4943,242,6,9540
5238,20/11,2,4489,242,6,9727
5882,21/11,3,5434,242,6,11316
5438,22/11,4,5266,242,6,10704
5261,23/11,5,5294,242,6,10555
5536,24/11,6,5295,242,6,10831
6270,25/11,7,7000,242,6,13270
2142,19/11,1,1387,218,6,3529
2561,20/11,2,3123,218,6,5684
2209,21/11,3,2345,218,6,4554
1412,22/11,4,1734,218,6,3146
1564,23/11,5,1501,218,6,3065
1519,24/11,6,1752,218,6,3271
1802,25/11,7,2168,218,6,3970
1188,19/11,1,946,133,6,2134
1036,20/11,2,955,133,6,1991
785,21/11,3,1007,133,6,1792
891,22/11,4,1061,133,6,1952
1167,23/11,5,949,133,6,2116
1183,24/11,6,920,133,6,2103
1244,25/11,7,929,133,6,2173
3790,19/11,1,2752,127,6,6542
2725,20/11,2,3869,127,6,6594
2735,21/11,3,3941,127,6,6676
3118,22/11,4,3253,127,6,6371
3493,23/11,5,2891,127,6,6384
3239,24/11,6,3099,127,6,6338
3655,25/11,7,3430,127,6,7085
1368,19/11,1,1447,277,6,2815
1135,20/11,2,1431,277,6,2566
1319,21/11,3,1626,277,6,2945
1325,22/11,4,1469,277,6,2794
1378,23/11,5,1355,277,6,2733
1405,24/11,6,1524,277,6,2929
1536,25/11,7,1392,277,6,2928
1853,19/11,1,1574,14,6,3427
1363,20/11,2,1502,14,6,2865
1701,21/11,3,1793,14,6,3494
1919,22/11,4,1665,14,6,3584
1850,23/11,5,1833,14,6,3683
1895,24/11,6,1762,14,6,3657
2173,25/11,7,1799,14,6,3972
4993,19/11,1,5082,36,6,10075
4427,20/11,2,4473,36,6,8900
5494,21/11,3,4830,36,6,10324
5037,22/11,4,4867,36,6,9904
5061,23/11,5,4699,36,6,9760
5554,24/11,6,5466,36,6,11020
5689,25/11,7,5830,36,6,11519
3921,19/11,1,3953,35,6,7874
4402,20/11,2,4035,35,6,8437
4155,21/11,3,4673,35,6,8828
4715,22/11,4,5040,35,6,9755
4876,23/11,5,4898,35,6,9774
4532,24/11,6,4559,35,6,9091
4861,25/11,7,4668,35,6,9529
3550,19/11,1,4427,28,6,7977
3622,20/11,2,4247,28,6,7869
4003,21/11,3,4582,28,6,8585
3769,22/11,4,4461,28,6,8230
4671,23/11,5,4798,28,6,9469
4340,24/11,6,4407,28,6,8747
5142,25/11,7,5427,28,6,10569
1629,19/11,1,1781,96,6,3410
1605,20/11,2,1754,96,6,3359
1775,21/11,3,2251,96,6,4026
1850,22/11,4,2111,96,6,3961
1848,23/11,5,2149,96,6,3997
2062,24/11,6,1977,96,6,4039
2151,25/11,7,1932,96,6,4083
3463,19/11,1,3097,130,6,6560
2946,20/11,2,3761,130,6,6707
2226,21/11,3,2936,130,6,5162
2371,22/11,4,2243,130,6,4614
2949,23/11,5,2446,130,6,5395
2807,24/11,6,2740,130,6,5547
2788,25/11,7,2996,130,6,5784
959,19/11,1,919,163,6,1878
1095,20/11,2,1054,163,6,2149
908,21/11,3,851,163,6,1759
990,22/11,4,847,163,6,1837
887,23/11,5,820,163,6,1707
946,24/11,6,873,163,6,1819
929,25/11,7,819,163,6,1748
5961,19/11,1,5725,25,6,11686
3950,20/11,2,5010,25,6,8960
6693,21/11,3,6576,25,6,13269
6326,22/11,4,5583,25,6,11909
6255,23/11,5,5888,25,6,12143
5174,24/11,6,7076,25,6,12250
6921,25/11,7,8218,25,6,15139
3636,19/11,1,4373,153,6,8009
3604,20/11,2,4443,153,6,8047
3605,21/11,3,3840,153,6,7445
3866,22/11,4,4179,153,6,8045
3764,23/11,5,4184,153,6,7948
4242,24/11,6,4641,153,6,8883
4685,25/11,7,5010,153,6,9695
3328,19/11,1,4116,152,6,7444
3121,20/11,2,3206,152,6,6327
3070,21/11,3,3336,152,6,6406
2887,22/11,4,2957,152,6,5844
3120,23/11,5,3492,152,6,6612
3293,24/11,6,3551,152,6,6844
3833,25/11,7,3448,152,6,7281
3883,19/11,1,3353,139,6,7236
2701,20/11,2,3426,139,6,6127
3773,21/11,3,3354,139,6,7127
3229,22/11,4,3033,139,6,6262
3234,23/11,5,3276,139,6,6510
3330,24/11,6,3458,139,6,6788
4074,25/11,7,3657,139,6,7731
2483,19/11,1,2540,39,6,5023
2319,20/11,2,2858,39,6,5177
2262,21/11,3,2680,39,6,4942
2575,22/11,4,2758,39,6,5333
2662,23/11,5,2760,39,6,5422
2928,24/11,6,2982,39,6,5910
3189,25/11,7,2683,39,6,5872
2746,19/11,1,2311,18,6,5057
2619,20/11,2,2967,18,6,5586
3530,21/11,3,3150,18,6,6680
3252,22/11,4,2995,18,6,6247
2601,23/11,5,2625,18,6,5226
2801,24/11,6,2937,18,6,5738
3388,25/11,7,3600,18,6,6988
2392,19/11,1,2367,61,6,4759
1776,20/11,2,1620,61,6,3396
2753,21/11,3,2460,61,6,5213
2756,22/11,4,2537,61,6,5293
2761,23/11,5,2724,61,6,5485
2594,24/11,6,2510,61,6,5104
2252,25/11,7,2196,61,6,4448
4070,19/11,1,3949,228,6,8019
3216,20/11,2,3078,228,6,6294
4231,21/11,3,4584,228,6,8815
4470,22/11,4,4210,228,6,8680
4414,23/11,5,4266,228,6,8680
4518,24/11,6,4285,228,6,8803
5824,25/11,7,4804,228,6,10628
2146,19/11,1,2200,124,6,4346
1737,20/11,2,2234,124,6,3971
2909,21/11,3,2415,124,6,5324
2689,22/11,4,2492,124,6,5181
2566,23/11,5,2680,124,6,5246
2372,24/11,6,2907,124,6,5279
2644,25/11,7,3025,124,6,5669
1905,19/11,1,2009,185,6,3914
1731,20/11,2,1786,185,6,3517
2126,21/11,3,2032,185,6,4158
2364,22/11,4,2210,185,6,4574
2130,23/11,5,2042,185,6,4172
2233,24/11,6,2242,185,6,4475
2105,25/11,7,2297,185,6,4402
2033,19/11,1,2362,203,6,4395
2620,20/11,2,1859,203,6,4479
2286,21/11,3,2310,203,6,4596
2224,22/11,4,2240,203,6,4464
2316,23/11,5,2222,203,6,4538
2628,24/11,6,2321,203,6,4949
2765,25/11,7,2968,203,6,5733
1680,19/11,1,1549,50,6,3229
1469,20/11,2,1507,50,6,2976
1804,21/11,3,1682,50,6,3486
1834,22/11,4,1659,50,6,3493
1639,23/11,5,1645,50,6,3284
1866,24/11,6,1716,50,6,3582
1964,25/11,7,1905,50,6,3869
953,19/11,1,889,246,6,1842
947,20/11,2,898,246,6,1845
1105,21/11,3,927,246,6,2032
1121,22/11,4,1027,246,6,2148
1072,23/11,5,1009,246,6,2081
1107,24/11,6,1042,246,6,2149
1360,25/11,7,1399,246,6,2759
1498,19/11,1,1513,157,6,3011
1216,20/11,2,1415,157,6,2631
1356,21/11,3,1575,157,6,2931
1496,22/11,4,1557,157,6,3053
1385,23/11,5,1403,157,6,2788
1433,24/11,6,1528,157,6,2961
1492,25/11,7,1532,157,6,3024
1845,19/11,1,1562,222,6,3407
1248,20/11,2,1334,222,6,2582
1547,21/11,3,1618,222,6,3165
1742,22/11,4,1739,222,6,3481
1851,23/11,5,1814,222,6,3665
2026,24/11,6,1758,222,6,3784
2081,25/11,7,1737,222,6,3818
1908,19/11,1,1906,42,6,3814
1655,20/11,2,1743,42,6,3398
2263,21/11,3,2249,42,6,4512
2094,22/11,4,2169,42,6,4263
2187,23/11,5,2139,42,6,4326
2239,24/11,6,2206,42,6,4445
2407,25/11,7,2262,42,6,4669
1316,19/11,1,1369,178,6,2685
1197,20/11,2,1194,178,6,2391
1423,21/11,3,1452,178,6,2875
1250,22/11,4,1394,178,6,2644
1416,23/11,5,1359,178,6,2775
1445,24/11,6,1305,178,6,2750
1831,25/11,7,1669,178,6,3500
449,19/11,1,502,226,6,951
495,20/11,2,388,226,6,883
497,21/11,3,407,226,6,904
463,22/11,4,426,226,6,889
455,23/11,5,471,226,6,926
503,24/11,6,421,226,6,924
554,25/11,7,482,226,6,1036
1248,19/11,1,1239,190,6,2487
1214,20/11,2,1167,190,6,2381
1709,21/11,3,1548,190,6,3257
1516,22/11,4,1540,190,6,3056
1543,23/11,5,1446,190,6,2989
1688,24/11,6,1698,190,6,3386
1924,25/11,7,1719,190,6,3643
2660,19/11,1,2705,258,6,5365
2287,20/11,2,2259,258,6,4546
3255,21/11,3,2727,258,6,5982
2940,22/11,4,2769,258,6,5709
2391,23/11,5,2835,258,6,5226
2993,24/11,6,3157,258,6,6150
2947,25/11,7,3112,258,6,6059
3107,19/11,1,3319,248,6,6426
2550,20/11,2,2300,248,6,4850
3468,21/11,3,3194,248,6,6662
3213,22/11,4,3103,248,6,6316
3017,23/11,5,2821,248,6,5838
3353,24/11,6,3335,248,6,6688
3883,25/11,7,3689,248,6,7572
1881,19/11,1,2033,261,6,3914
1736,20/11,2,1986,261,6,3722
2282,21/11,3,2231,261,6,4513
2368,22/11,4,2411,261,6,4779
3054,23/11,5,2345,261,6,5399
2801,24/11,6,2622,261,6,5423
2942,25/11,7,2358,261,6,5300
1163,19/11,1,1402,195,6,2565
1125,20/11,2,1292,195,6,2417
1108,21/11,3,1206,195,6,2314
1036,22/11,4,1319,195,6,2355
1096,23/11,5,1069,195,6,2165
1036,24/11,6,1397,195,6,2433
1275,25/11,7,1535,195,6,2810
1497,19/11,1,1500,187,6,2997
1130,20/11,2,1295,187,6,2425
1248,21/11,3,1201,187,6,2449
1492,22/11,4,1433,187,6,2925
1437,23/11,5,1487,187,6,2924
1563,24/11,6,1657,187,6,3220
1825,25/11,7,1755,187,6,3580
1767,19/11,1,1596,196,6,3363
1489,20/11,2,1614,196,6,3103
1858,21/11,3,1506,196,6,3364
1883,22/11,4,1482,196,6,3365
1810,23/11,5,1564,196,6,3374
1862,24/11,6,1632,196,6,3494
2033,25/11,7,1873,196,6,3906
2418,19/11,1,2547,193,6,4965
2280,20/11,2,2604,193,6,4884
2828,21/11,3,2740,193,6,5568
2727,22/11,4,2777,193,6,5504
2632,23/11,5,2663,193,6,5295
2843,24/11,6,3098,193,6,5941
2795,25/11,7,3283,193,6,6078
658,19/11,1,676,135,6,1334
594,20/11,2,563,135,6,1157
788,21/11,3,757,135,6,1545
869,22/11,4,738,135,6,1607
649,23/11,5,732,135,6,1381
776,24/11,6,837,135,6,1613
807,25/11,7,849,135,6,1656
1871,19/11,1,1677,11,6,3548
1356,20/11,2,1366,11,6,2722
1760,21/11,3,1790,11,6,3550
1932,22/11,4,2030,11,6,3962
1829,23/11,5,1975,11,6,3804
2119,24/11,6,2070,11,6,4189
2206,25/11,7,1975,11,6,4181
1302,19/11,1,1688,247,6,2990
1218,20/11,2,1497,247,6,2715
1249,21/11,3,1793,247,6,3042
1417,22/11,4,1764,247,6,3181
1427,23/11,5,1670,247,6,3097
1377,24/11,6,1997,247,6,3374
1448,25/11,7,1950,247,6,3398
6965,19/11,1,8871,165,6,15836
10138,20/11,2,7314,165,6,17452
8884,21/11,3,9214,165,6,18098
8004,22/11,4,8334,165,6,16338
7925,23/11,5,7674,165,6,15599
8147,24/11,6,8111,165,6,16258
8782,25/11,7,9776,165,6,18558
1368,19/11,1,1246,125,6,2614
1199,20/11,2,1158,125,6,2357
1481,21/11,3,1386,125,6,2867
1271,22/11,4,1247,125,6,2518
1270,23/11,5,1381,125,6,2651
1388,24/11,6,1465,125,6,2853
1436,25/11,7,1483,125,6,2919
773,19/11,1,1045,23,6,1818
827,20/11,2,1002,23,6,1829
750,21/11,3,1274,23,6,2024
745,22/11,4,1014,23,6,1759
737,23/11,5,1060,23,6,1797
729,24/11,6,1104,23,6,1833
924,25/11,7,1140,23,6,2064
893,19/11,1,1489,225,6,2382
1400,20/11,2,829,225,6,2229
1214,21/11,3,994,225,6,2208
983,22/11,4,981,225,6,1964
917,23/11,5,976,225,6,1893
918,24/11,6,900,225,6,1818
983,25/11,7,1042,225,6,2025
