classe,percentage,point,survey,total
Veículo Leve,84.2,146,7,14626.0
Moto,3.5,146,7,604.0
Ônibus,2.0,146,7,343.0
Caminhão Leve,5.8,146,7,1003.0
Truck,0.4,146,7,70.0
Semirreboques,2.7,146,7,464.0
Semirreboques Especiais,1.5,146,7,252.0
Reboques,0.1,146,7,9.0
Veículo Leve,68.3,123,7,38864.0
Moto,2.7,123,7,1551.0
Ônibus,2.2,123,7,1230.0
Caminhão Leve,11.0,123,7,6268.0
Truck,0.2,123,7,98.0
Semirreboques,12.4,123,7,7072.0
Semirreboques Especiais,3.2,123,7,1798.0
Reboques,0.1,123,7,56.0
Veículo Leve,69.2,33,7,53100.0
Moto,2.5,33,7,1956.0
Ônibus,3.6,33,7,2726.0
Caminhão Leve,11.2,33,7,8633.0
Truck,0.2,33,7,165.0
Semirreboques,12.1,33,7,9257.0
Semirreboques Especiais,1.1,33,7,872.0
Reboques,0.1,33,7,70.0
Veículo Leve,61.1,169,7,25330.0
Moto,1.8,169,7,760.0
Ônibus,2.4,169,7,983.0
Caminhão Leve,10.7,169,7,4415.0
Truck,0.3,169,7,127.0
Semirreboques,15.8,169,7,6558.0
Semirreboques Especiais,7.8,169,7,3243.0
Reboques,0.1,169,7,38.0
Veículo Leve,72.3,111,7,48477.0
Moto,7.5,111,7,5021.0
Ônibus,1.2,111,7,807.0
Caminhão Leve,11.7,111,7,7845.0
Truck,0.2,111,7,142.0
Semirreboques,4.1,111,7,2715.0
Semirreboques Especiais,2.5,111,7,1703.0
Reboques,0.5,111,7,321.0
Veículo Leve,62.6,126,7,20020.0
Moto,5.6,126,7,1779.0
Ônibus,2.9,126,7,941.0
Caminhão Leve,16.7,126,7,5349.0
Truck,0.2,126,7,51.0
Semirreboques,9.9,126,7,3158.0
Semirreboques Especiais,1.8,126,7,580.0
Reboques,0.3,126,7,90.0
Veículo Leve,64.3,143,7,26153.0
Moto,7.8,143,7,3178.0
Ônibus,3.6,143,7,1477.0
Caminhão Leve,13.4,143,7,5469.0
Truck,0.5,143,7,211.0
Semirreboques,8.1,143,7,3285.0
Semirreboques Especiais,1.9,143,7,778.0
Reboques,0.3,143,7,139.0
Veículo Leve,60.8,16,7,51303.0
Moto,8.2,16,7,6923.0
Ônibus,2.6,16,7,2230.0
Caminhão Leve,12.3,16,7,10380.0
Truck,0.1,16,7,115.0
Semirreboques,12.6,16,7,10590.0
Semirreboques Especiais,3.0,16,7,2528.0
Reboques,0.3,16,7,280.0
Veículo Leve,70.4,7,7,37587.0
Moto,5.2,7,7,2791.0
Ônibus,4.3,7,7,2271.0
Caminhão Leve,11.9,7,7,6377.0
Truck,0.3,7,7,151.0
Semirreboques,6.4,7,7,3424.0
Semirreboques Especiais,1.4,7,7,770.0
Reboques,0.1,7,7,50.0
Veículo Leve,75.2,56,7,81825.0
Moto,3.9,56,7,4293.0
Ônibus,1.6,56,7,1769.0
Caminhão Leve,10.3,56,7,11211.0
Truck,0.1,56,7,151.0
Semirreboques,7.2,56,7,7795.0
Semirreboques Especiais,1.6,56,7,1757.0
Reboques,0.1,56,7,64.0
Veículo Leve,61.8,58,7,36597.0
Moto,4.7,58,7,2800.0
Ônibus,2.9,58,7,1735.0
Caminhão Leve,12.3,58,7,7273.0
Truck,0.4,58,7,223.0
Semirreboques,13.8,58,7,8157.0
Semirreboques Especiais,3.9,58,7,2294.0
Reboques,0.2,58,7,129.0
Veículo Leve,68.2,220,7,119533.0
Moto,4.9,220,7,8588.0
Ônibus,4.5,220,7,7918.0
Caminhão Leve,10.6,220,7,18532.0
Truck,0.4,220,7,679.0
Semirreboques,9.1,220,7,15899.0
Semirreboques Especiais,2.0,220,7,3474.0
Reboques,0.4,220,7,706.0
Veículo Leve,84.9,244,7,45981.0
Moto,5.4,244,7,2911.0
Ônibus,3.1,244,7,1672.0
Caminhão Leve,5.5,244,7,2964.0
Truck,0.5,244,7,261.0
Semirreboques,0.6,244,7,333.0
Semirreboques Especiais,0.0,244,7,7.0
Reboques,0.0,244,7,8.0
Veículo Leve,74.5,74,7,84350.0
Moto,1.9,74,7,2119.0
Ônibus,3.5,74,7,3951.0
Caminhão Leve,12.3,74,7,13924.0
Truck,0.4,74,7,450.0
Semirreboques,6.5,74,7,7367.0
Semirreboques Especiais,0.9,74,7,1056.0
Reboques,0.1,74,7,64.0
Veículo Leve,76.4,78,7,104671.0
Moto,10.1,78,7,13781.0
Ônibus,2.4,78,7,3305.0
Caminhão Leve,6.8,78,7,9299.0
Truck,0.1,78,7,137.0
Semirreboques,3.6,78,7,4935.0
Semirreboques Especiais,0.6,78,7,791.0
Reboques,0.0,78,7,37.0
Veículo Leve,77.4,252,7,37456.0
Moto,16.4,252,7,7927.0
Ônibus,1.6,252,7,757.0
Caminhão Leve,4.3,252,7,2077.0
Truck,0.1,252,7,68.0
Semirreboques,0.2,252,7,94.0
Semirreboques Especiais,0.0,252,7,17.0
Reboques,0.0,252,7,1.0
Veículo Leve,61.8,255,7,19184.0
Moto,23.5,255,7,7297.0
Ônibus,1.3,255,7,409.0
Caminhão Leve,10.7,255,7,3337.0
Truck,0.2,255,7,49.0
Semirreboques,2.0,255,7,632.0
Semirreboques Especiais,0.4,255,7,139.0
Reboques,0.0,255,7,1.0
Veículo Leve,71.7,101,7,87183.0
Moto,4.6,101,7,5601.0
Ônibus,3.9,101,7,4740.0
Caminhão Leve,10.3,101,7,12486.0
Truck,0.1,101,7,170.0
Semirreboques,7.2,101,7,8772.0
Semirreboques Especiais,2.1,101,7,2515.0
Reboques,0.1,101,7,61.0
Veículo Leve,41.9,9,7,23583.0
Moto,1.3,9,7,752.0
Ônibus,3.5,9,7,1997.0
Caminhão Leve,15.4,9,7,8694.0
Truck,0.5,9,7,267.0
Semirreboques,30.7,9,7,17274.0
Semirreboques Especiais,6.3,9,7,3556.0
Reboques,0.4,9,7,228.0
Veículo Leve,65.5,13,7,62058.0
Moto,8.7,13,7,8202.0
Ônibus,2.8,13,7,2684.0
Caminhão Leve,11.4,13,7,10842.0
Truck,0.2,13,7,230.0
Semirreboques,9.2,13,7,8731.0
Semirreboques Especiais,2.0,13,7,1868.0
Reboques,0.2,13,7,169.0
Veículo Leve,50.6,140,7,20578.0
Moto,14.4,140,7,5852.0
Ônibus,3.1,140,7,1275.0
Caminhão Leve,15.2,140,7,6168.0
Truck,0.6,140,7,227.0
Semirreboques,13.0,140,7,5297.0
Semirreboques Especiais,2.8,140,7,1154.0
Reboques,0.3,140,7,105.0
Veículo Leve,67.1,37,7,41363.0
Moto,3.8,37,7,2332.0
Ônibus,3.5,37,7,2162.0
Caminhão Leve,12.4,37,7,7650.0
Truck,0.2,37,7,147.0
Semirreboques,11.3,37,7,6986.0
Semirreboques Especiais,1.4,37,7,892.0
Reboques,0.2,37,7,94.0
Veículo Leve,60.0,177,7,19600.0
Moto,5.7,177,7,1860.0
Ônibus,3.6,177,7,1180.0
Caminhão Leve,14.1,177,7,4588.0
Truck,0.1,177,7,47.0
Semirreboques,14.9,177,7,4853.0
Semirreboques Especiais,1.2,177,7,402.0
Reboques,0.4,177,7,117.0
Veículo Leve,46.0,59,7,12637.0
Moto,3.1,59,7,864.0
Ônibus,2.1,59,7,589.0
Caminhão Leve,21.3,59,7,5841.0
Truck,0.3,59,7,70.0
Semirreboques,21.3,59,7,5839.0
Semirreboques Especiais,5.7,59,7,1571.0
Reboques,0.2,59,7,61.0
Veículo Leve,75.5,117,7,183748.0
Moto,3.1,117,7,7612.0
Ônibus,4.8,117,7,11781.0
Caminhão Leve,9.2,117,7,22496.0
Truck,0.2,117,7,372.0
Semirreboques,6.2,117,7,15074.0
Semirreboques Especiais,0.8,117,7,1956.0
Reboques,0.1,117,7,360.0
Veículo Leve,71.4,83,7,71517.0
Moto,4.3,83,7,4289.0
Ônibus,3.3,83,7,3328.0
Caminhão Leve,9.7,83,7,9716.0
Truck,0.1,83,7,113.0
Semirreboques,8.8,83,7,8826.0
Semirreboques Especiais,1.3,83,7,1331.0
Reboques,1.1,83,7,1071.0
Veículo Leve,37.3,104,7,45293.0
Moto,0.8,104,7,940.0
Ônibus,2.4,104,7,2869.0
Caminhão Leve,19.5,104,7,23610.0
Truck,0.8,104,7,932.0
Semirreboques,34.1,104,7,41314.0
Semirreboques Especiais,4.9,104,7,5992.0
Reboques,0.3,104,7,346.0
Veículo Leve,70.3,103,7,228885.0
Moto,3.3,103,7,10862.0
Ônibus,2.8,103,7,8989.0
Caminhão Leve,10.8,103,7,35258.0
Truck,0.2,103,7,592.0
Semirreboques,11.3,103,7,36804.0
Semirreboques Especiais,1.0,103,7,3363.0
Reboques,0.3,103,7,826.0
Veículo Leve,68.9,279,7,200861.0
Moto,2.9,279,7,8456.0
Ônibus,2.9,279,7,8316.0
Caminhão Leve,11.3,279,7,32955.0
Truck,0.2,279,7,597.0
Semirreboques,12.5,279,7,36487.0
Semirreboques Especiais,1.2,279,7,3583.0
Reboques,0.1,279,7,189.0
Veículo Leve,66.9,280,7,161535.0
Moto,2.0,280,7,4773.0
Ônibus,3.1,280,7,7393.0
Caminhão Leve,14.8,280,7,35661.0
Truck,0.2,280,7,565.0
Semirreboques,12.3,280,7,29780.0
Semirreboques Especiais,0.7,280,7,1768.0
Reboques,0.0,280,7,80.0
Veículo Leve,42.8,281,7,63782.0
Moto,2.3,281,7,3361.0
Ônibus,2.7,281,7,4016.0
Caminhão Leve,16.7,281,7,24824.0
Truck,1.7,281,7,2498.0
Semirreboques,28.4,281,7,42345.0
Semirreboques Especiais,5.1,281,7,7579.0
Reboques,0.4,281,7,603.0
Veículo Leve,72.1,198,7,7583.0
Moto,6.6,198,7,694.0
Ônibus,3.4,198,7,357.0
Caminhão Leve,14.2,198,7,1494.0
Truck,0.0,198,7,5.0
Semirreboques,3.2,198,7,333.0
Semirreboques Especiais,0.3,198,7,33.0
Reboques,0.2,198,7,23.0
Veículo Leve,49.0,10,7,17665.0
Moto,6.6,10,7,2362.0
Ônibus,3.1,10,7,1112.0
Caminhão Leve,10.5,10,7,3777.0
Truck,0.1,10,7,43.0
Semirreboques,11.8,10,7,4269.0
Semirreboques Especiais,18.8,10,7,6785.0
Reboques,0.0,10,7,14.0
Veículo Leve,80.3,223,7,8939.0
Moto,5.8,223,7,647.0
Ônibus,2.5,223,7,277.0
Caminhão Leve,7.3,223,7,813.0
Truck,0.1,223,7,12.0
Semirreboques,3.3,223,7,364.0
Semirreboques Especiais,0.7,223,7,74.0
Reboques,0.0,223,7,5.0
Veículo Leve,67.6,62,7,26583.0
Moto,7.3,62,7,2880.0
Ônibus,2.5,62,7,982.0
Caminhão Leve,15.7,62,7,6167.0
Truck,0.1,62,7,45.0
Semirreboques,4.6,62,7,1793.0
Semirreboques Especiais,2.1,62,7,817.0
Reboques,0.1,62,7,35.0
Veículo Leve,50.9,26,7,23398.0
Moto,13.6,26,7,6271.0
Ônibus,3.2,26,7,1455.0
Caminhão Leve,13.4,26,7,6140.0
Truck,0.3,26,7,129.0
Semirreboques,11.6,26,7,5325.0
Semirreboques Especiais,6.9,26,7,3186.0
Reboques,0.2,26,7,85.0
Veículo Leve,54.9,38,7,36354.0
Moto,3.1,38,7,2046.0
Ônibus,3.0,38,7,1978.0
Caminhão Leve,17.3,38,7,11434.0
Truck,0.3,38,7,204.0
Semirreboques,17.5,38,7,11583.0
Semirreboques Especiais,3.5,38,7,2349.0
Reboques,0.4,38,7,267.0
Veículo Leve,59.7,110,7,5391.0
Moto,5.5,110,7,501.0
Ônibus,6.9,110,7,619.0
Caminhão Leve,10.6,110,7,957.0
Truck,0.5,110,7,41.0
Semirreboques,10.7,110,7,969.0
Semirreboques Especiais,6.1,110,7,548.0
Reboques,0.1,110,7,7.0
Veículo Leve,58.1,161,7,29144.0
Moto,3.4,161,7,1708.0
Ônibus,2.8,161,7,1419.0
Caminhão Leve,14.0,161,7,7000.0
Truck,0.3,161,7,170.0
Semirreboques,17.8,161,7,8940.0
Semirreboques Especiais,3.3,161,7,1661.0
Reboques,0.2,161,7,115.0
Veículo Leve,80.0,205,7,13059.0
Moto,3.7,205,7,610.0
Ônibus,0.9,205,7,143.0
Caminhão Leve,13.5,205,7,2206.0
Truck,0.2,205,7,30.0
Semirreboques,1.2,205,7,201.0
Semirreboques Especiais,0.3,205,7,42.0
Reboques,0.3,205,7,42.0
Veículo Leve,48.3,22,7,15615.0
Moto,3.5,22,7,1134.0
Ônibus,3.9,22,7,1258.0
Caminhão Leve,13.2,22,7,4260.0
Truck,0.2,22,7,75.0
Semirreboques,22.2,22,7,7165.0
Semirreboques Especiais,8.5,22,7,2730.0
Reboques,0.2,22,7,65.0
Veículo Leve,61.7,288,7,21509.0
Moto,19.2,288,7,6707.0
Ônibus,3.1,288,7,1094.0
Caminhão Leve,7.5,288,7,2612.0
Truck,0.5,288,7,166.0
Semirreboques,5.3,288,7,1863.0
Semirreboques Especiais,2.4,288,7,819.0
Reboques,0.2,288,7,72.0
Veículo Leve,68.4,268,7,8233.0
Moto,1.6,268,7,189.0
Ônibus,3.0,268,7,361.0
Caminhão Leve,15.8,268,7,1904.0
Truck,0.2,268,7,28.0
Semirreboques,8.2,268,7,992.0
Semirreboques Especiais,2.0,268,7,236.0
Reboques,0.8,268,7,99.0
Veículo Leve,56.4,97,7,26229.0
Moto,2.7,97,7,1239.0
Ônibus,1.8,97,7,823.0
Caminhão Leve,16.7,97,7,7784.0
Truck,0.9,97,7,413.0
Semirreboques,18.6,97,7,8643.0
Semirreboques Especiais,2.8,97,7,1287.0
Reboques,0.2,97,7,85.0
Veículo Leve,51.2,105,7,15343.0
Moto,2.6,105,7,771.0
Ônibus,1.7,105,7,510.0
Caminhão Leve,13.6,105,7,4074.0
Truck,0.7,105,7,208.0
Semirreboques,22.5,105,7,6760.0
Semirreboques Especiais,7.4,105,7,2209.0
Reboques,0.4,105,7,106.0
Veículo Leve,57.2,283,7,18418.0
Moto,1.9,283,7,618.0
Ônibus,1.3,283,7,415.0
Caminhão Leve,13.1,283,7,4215.0
Truck,0.3,283,7,85.0
Semirreboques,19.8,283,7,6393.0
Semirreboques Especiais,6.3,283,7,2025.0
Reboques,0.1,283,7,42.0
Veículo Leve,38.6,108,7,11090.0
Moto,2.4,108,7,682.0
Ônibus,4.3,108,7,1247.0
Caminhão Leve,16.1,108,7,4619.0
Truck,0.4,108,7,113.0
Semirreboques,26.3,108,7,7561.0
Semirreboques Especiais,11.9,108,7,3417.0
Reboques,0.1,108,7,37.0
Veículo Leve,56.2,291,7,28467.0
Moto,4.8,291,7,2445.0
Ônibus,3.3,291,7,1662.0
Caminhão Leve,11.0,291,7,5561.0
Truck,0.3,291,7,166.0
Semirreboques,17.1,291,7,8676.0
Semirreboques Especiais,7.1,291,7,3605.0
Reboques,0.1,291,7,27.0
Veículo Leve,44.5,109,7,14463.0
Moto,0.9,109,7,287.0
Ônibus,4.1,109,7,1337.0
Caminhão Leve,14.5,109,7,4695.0
Truck,0.6,109,7,201.0
Semirreboques,25.4,109,7,8254.0
Semirreboques Especiais,9.9,109,7,3224.0
Reboques,0.1,109,7,28.0
Veículo Leve,38.5,297,7,8264.0
Moto,0.9,297,7,187.0
Ônibus,1.0,297,7,212.0
Caminhão Leve,9.1,297,7,1959.0
Truck,1.3,297,7,281.0
Semirreboques,22.0,297,7,4720.0
Semirreboques Especiais,27.1,297,7,5828.0
Reboques,0.1,297,7,30.0
Veículo Leve,70.1,276,7,48593.0
Moto,2.5,276,7,1738.0
Ônibus,2.0,276,7,1360.0
Caminhão Leve,12.2,276,7,8437.0
Truck,0.3,276,7,196.0
Semirreboques,7.3,276,7,5087.0
Semirreboques Especiais,5.5,276,7,3816.0
Reboques,0.1,276,7,66.0
Veículo Leve,54.4,293,7,9033.0
Moto,4.1,293,7,681.0
Ônibus,2.4,293,7,402.0
Caminhão Leve,10.2,293,7,1700.0
Truck,0.2,293,7,40.0
Semirreboques,7.4,293,7,1226.0
Semirreboques Especiais,21.1,293,7,3507.0
Reboques,0.1,293,7,16.0
Veículo Leve,50.0,206,7,16027.0
Moto,2.2,206,7,712.0
Ônibus,1.8,206,7,575.0
Caminhão Leve,8.1,206,7,2597.0
Truck,0.4,206,7,115.0
Semirreboques,14.1,206,7,4519.0
Semirreboques Especiais,23.4,206,7,7491.0
Reboques,0.1,206,7,41.0
Veículo Leve,52.5,122,7,10353.0
Moto,7.7,122,7,1526.0
Ônibus,1.3,122,7,263.0
Caminhão Leve,7.2,122,7,1415.0
Truck,0.5,122,7,95.0
Semirreboques,7.4,122,7,1451.0
Semirreboques Especiais,23.2,122,7,4566.0
Reboques,0.2,122,7,39.0
Veículo Leve,63.8,27,7,31218.0
Moto,18.2,27,7,8896.0
Ônibus,4.5,27,7,2209.0
Caminhão Leve,7.0,27,7,3401.0
Truck,0.4,27,7,219.0
Semirreboques,3.5,27,7,1728.0
Semirreboques Especiais,2.4,27,7,1157.0
Reboques,0.2,27,7,103.0
Veículo Leve,29.7,54,7,15183.0
Moto,3.0,54,7,1543.0
Ônibus,1.6,54,7,795.0
Caminhão Leve,7.8,54,7,3966.0
Truck,0.2,54,7,85.0
Semirreboques,15.4,54,7,7865.0
Semirreboques Especiais,42.3,54,7,21589.0
Reboques,0.1,54,7,27.0
Veículo Leve,64.7,160,7,8465.0
Moto,11.3,160,7,1481.0
Ônibus,2.8,160,7,368.0
Caminhão Leve,14.4,160,7,1882.0
Truck,0.3,160,7,44.0
Semirreboques,5.0,160,7,655.0
Semirreboques Especiais,1.3,160,7,176.0
Reboques,0.1,160,7,12.0
Veículo Leve,44.7,158,7,13603.0
Moto,26.8,158,7,8152.0
Ônibus,1.7,158,7,525.0
Caminhão Leve,12.9,158,7,3935.0
Truck,0.1,158,7,40.0
Semirreboques,7.1,158,7,2169.0
Semirreboques Especiais,6.4,158,7,1958.0
Reboques,0.2,158,7,46.0
Veículo Leve,54.4,134,7,3113.0
Moto,26.0,134,7,1488.0
